ID,Source,TMC,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,Distance(mi),Description,Street,Side,City,County,Zipcode,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Crossing,Give_Way,Junction,No_Exit,Railway,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Start_Year,Start_Month,Start_Dayofweek,Start_Hour,Fog,Rain,Heavy_Rain,Light_Rain,Snow
A-167473,MapQuest,241,3,2016-12-04 08:49:00,2016-12-04 09:34:00,38.767078000000005,-90.182312,0.01,One lane blocked due to accident on I-270 Eastbound at Exit 34 Riverview Dr.,I-270 W,R,Saint Louis,St. Louis City,63138,37.9,34.4,86.0,30.04,2.5,East,4.6,0.02,Light Rain,0,0,0,0,0,0,0,0,0,0,0,Day,2016,12,6,8,0,0,0,1,0
A-167933,MapQuest,201,1,2016-12-12 09:30:00,2016-12-12 10:30:00,38.648666,-90.191383,0.01,Accident on 10th St Northbound at Monroe St.,N 10th St,R,Saint Louis,St. Louis City,63102,34.0,25.5,64.0,30.19,10.0,NW,11.5,0.01,Scattered Clouds,0,0,0,0,0,0,0,0,0,0,0,Day,2016,12,0,9,0,0,0,0,0
A-168256,MapQuest,201,3,2016-12-16 12:56:00,2016-12-16 13:39:00,38.714451000000004,-90.447556,0.01,4 left lane blocked due to accident on I-270 Northbound after Dorsett Rd.,I-270 S,R,Maryland Heights,St. Louis County,63043,27.0,15.2,63.0,29.98,10.0,SSE,15.0,0.0,Overcast,0,0,0,0,0,0,0,0,0,0,0,Day,2016,12,4,12,0,0,0,0,0
A-168265,MapQuest,222,3,2016-12-16 16:11:00,2016-12-16 16:41:00,38.629337,-90.325378,0.01,Queueing traffic due to accident on I-64 Eastbound at Exit 31B Hanley Rd.,US-40 E,R,Saint Louis,St. Louis County,63117,28.0,17.0,78.0,29.78,2.5,SE,13.8,0.0,Light Freezing Drizzle,0,0,0,0,0,0,0,0,0,0,0,Day,2016,12,4,16,0,0,0,0,0
A-168287,MapQuest,201,2,2016-12-16 18:39:00,2016-12-16 19:09:00,38.662502,-90.502586,0.01,Accident on MO-141 Northbound at Ladue Rd.,State Highway 141,R,Saint Louis,St. Louis County,63141,30.0,19.1,85.0,29.7,4.0,SSE,15.0,0.0,Light Freezing Rain,0,0,0,0,0,0,0,0,0,0,0,Night,2016,12,4,18,0,0,0,0,0
A-168305,MapQuest,229,3,2016-12-16 22:50:00,2016-12-16 23:20:00,38.76976,-90.407349,0.01,Slow traffic and right lane closed due to accident on I-270 Northbound at Exits 22B 22B-A MO-370.,I-270 S,R,Bridgeton,St. Louis County,63044,34.0,25.5,85.0,29.64,7.0,South,11.5,0.0,Overcast,0,0,0,0,0,0,0,0,0,0,0,Night,2016,12,4,22,0,0,0,0,0
A-168313,MapQuest,201,3,2016-12-17 19:56:00,2016-12-17 20:26:00,38.698421,-90.450806,0.01,Right hand shoulder blocked due to accident on I-270 Westbound at Exits 16 16A 16B MO-364.,MO-364 W,R,Saint Louis,St. Louis County,63146,21.9,7.3,75.0,29.98,6.0,NNW,18.4,0.0,Light Snow,0,0,0,0,0,0,0,0,0,0,0,Night,2016,12,5,19,0,0,0,0,0
A-168314,MapQuest,201,3,2016-12-17 19:58:00,2016-12-17 20:28:00,38.770515,-90.260521,0.01,Right hand shoulder blocked due to accident on I-270 Westbound near Exit 30A Pershall Rd.,Pershall Rd,L,Saint Louis,St. Louis County,63136,21.9,7.3,75.0,29.98,6.0,NNW,18.4,0.0,Light Snow,0,0,0,0,0,0,0,0,0,1,0,Night,2016,12,5,19,0,0,0,0,0
A-168748,MapQuest,201,3,2016-12-23 10:29:00,2016-12-23 11:13:00,38.673035,-90.204185,0.01,Right lane closed due to accident on I-70 Eastbound after Grand Ave.,E Grand Ave,R,Saint Louis,St. Louis City,63147,39.9,32.9,70.0,30.23,9.0,SE,11.5,0.0,Light Rain,0,0,0,0,0,0,0,0,0,0,0,Day,2016,12,4,10,0,0,0,1,0
A-168749,MapQuest,201,3,2016-12-23 10:33:00,2016-12-23 11:17:00,38.744003,-90.412628,0.01,2 Right lane closed due to accident on I-70 Westbound after MO-180 Saint Charles Rock Rd.,Saint Charles Rock Rd,R,Bridgeton,St. Louis County,63044,39.9,32.9,70.0,30.23,9.0,SE,11.5,0.0,Light Rain,0,0,0,0,0,0,0,0,0,0,0,Day,2016,12,4,10,0,0,0,1,0
