ID,Source,TMC,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Number,Street,Side,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
A-167306,MapQuest,201,3,11/30/2016 17:32,11/30/2016 18:02,38.649963,-90.448578,,,0.01,Accident on I-270 Southbound at Exit 13 MO-AB.,,I-270 S,R,Saint Louis,St. Louis County,MO,63141,US,US/Central,KSTL,11/30/2016 17:51,42.1,33.9,55,29.85,10,WSW,17.3,,Overcast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Day,Day
A-167316,MapQuest,201,3,11/30/2016 19:22,11/30/2016 19:51,38.705097,-90.339996,,,0.01,Right hand shoulder blocked due to accident on I-170 Northbound at Exit 5 MO-180 Saint Charles Rock Rd.,,I-170 S,R,Saint Louis,St. Louis County,MO,63114,US,US/Central,KSTL,11/30/2016 19:51,42.1,35.2,55,29.88,10,WSW,12.7,,Overcast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Night,Night,Night,Night
A-167329,MapQuest,201,3,12/1/2016 7:16,12/1/2016 7:45,38.581558,-90.448074,,,0.01,Right lane blocked due to accident on I-270 Southbound at Exit 8 Dougherty Ferry Rd.,,I-270 S,R,Saint Louis,St. Louis County,MO,63131,US,US/Central,KSTL,12/1/2016 6:51,33.1,24.9,66,30,10,West,10.4,,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-167345,MapQuest,201,3,12/1/2016 9:13,12/1/2016 9:43,38.770924,-90.266983,,,0.01,Center lane blocked due to accident on I-270 Westbound at Exit 30 New Halls Ferry Rd.,,I-270 E,R,Saint Louis,St. Louis County,MO,63136,US,US/Central,KSTL,12/1/2016 8:55,37.9,30.5,60,30.01,10,West,11.5,,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-167357,MapQuest,201,3,12/1/2016 11:00,12/1/2016 11:30,38.770027,-90.406715,,,0.01,Right lane blocked due to accident on I-270 Southbound after Exits 22B 22B-A MO-370.,,I-270 S,R,Bridgeton,St. Louis County,MO,63044,US,US/Central,KSTL,12/1/2016 10:51,39.9,32.9,58,30.07,10,WNW,11.5,,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-167385,MapQuest,201,3,12/1/2016 18:07,12/1/2016 18:37,38.596626,-90.216034,,,0.01,Accident on I-55 Southbound at Exit 206C Arsenal St.,,I-55 N,R,Saint Louis,St. Louis City,MO,63118,US,US/Central,KCPS,12/1/2016 17:53,39.9,,58,30.06,10,Calm,,,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Day
A-167392,MapQuest,241,2,12/1/2016 19:34,12/1/2016 20:04,38.737946,-90.633255,,,0.01,Right lane blocked due to accident on MO-364 Westbound at Kisker Rd.,,Mid Rivers Mall Dr,R,Saint Charles,St. Charles,MO,63304,US,US/Central,KSUS,12/1/2016 19:54,30,,88,30.1,10,Calm,,,Clear,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-167399,MapQuest,201,3,12/2/2016 5:04,12/2/2016 5:48,38.630001,-90.36232,,,0.01,Three left lane blocked due to accident on I-64 Eastbound before Exit 30 McKnight Rd.,,S McKnight Rd,R,Saint Louis,St. Louis County,MO,63124,US,US/Central,KSTL,12/2/2016 4:51,30,,79,30.22,10,Calm,,,Partly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-167405,MapQuest,201,3,12/2/2016 7:50,12/2/2016 8:19,38.610386,-90.210831,,,0.01,Accident on I-44 Westbound at Exits 290A 290B 290C I-55.,,I-44 E,R,Saint Louis,St. Louis City,MO,63104,US,US/Central,KCPS,12/2/2016 7:53,28.9,,85,30.27,10,Calm,,,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-167406,MapQuest,201,3,12/2/2016 8:04,12/2/2016 8:33,38.548611,-90.42717,,,0.01,Right lane blocked due to accident on I-270 Northbound at Exits 5A 5B I-44.,,I-44 W,R,Saint Louis,St. Louis County,MO,63122,US,US/Central,KSTL,12/2/2016 7:51,32,,79,30.27,10,Calm,,,Partly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
